"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
4.299444031E1,8.855000138E-2,1.289750040E-1,1.042662501E0,1.054334267E0
4.299642839E1,9.707500041E-2,1.256749928E-1,1.032075047E0,1.044220601E0
4.299841662E1,1.076624990E-1,1.214125007E-1,1.021350026E0,1.034160570E0
4.300040470E1,1.172875017E-1,1.139874980E-1,1.010762453E0,1.023909295E0
4.300239293E1,1.258125007E-1,1.054624990E-1,1.001137495E0,1.014508456E0
4.300438102E1,1.343374997E-1,9.913749993E-2,9.915124774E-1,1.005470935E0
4.300636933E1,1.417624950E-1,9.487500042E-2,9.820249677E-1,9.967301078E-1
4.300835756E1,1.482249945E-1,9.061250091E-2,9.724000096E-1,9.877970708E-1
4.301034564E1,1.534499973E-1,8.951249719E-2,9.649749994E-1,9.811911834E-1
4.301233387E1,1.567499936E-1,8.841250092E-2,9.585124850E-1,9.752607419E-1
4.301432196E1,1.556500047E-1,8.635000139E-2,9.532874823E-1,9.697629971E-1
4.301631019E1,1.524875015E-1,8.208750188E-2,9.490249753E-1,9.646964288E-1
4.301829827E1,1.471250057E-1,7.878749818E-2,9.457250237E-1,9.603379914E-1
4.302028657E1,1.385999918E-1,7.562500238E-2,9.447624683E-1,9.578649280E-1
4.302227457E1,1.269125044E-1,6.710000336E-2,9.447624683E-1,9.556073021E-1
4.302426280E1,1.119249985E-1,5.004999787E-2,9.457250237E-1,9.536393596E-1
4.302625112E1,9.707500041E-2,2.667500079E-2,9.490249753E-1,9.543497866E-1
4.302823920E1,8.208750188E-2,0.000000000E0,9.542499781E-1,9.577741793E-1
4.303022743E1,6.723749638E-2,-2.763750032E-2,9.585124850E-1,9.612652580E-1
4.303221551E1,5.335000157E-2,-5.541250110E-2,9.618124962E-1,9.648834364E-1
4.303420374E1,4.056249931E-2,-7.768750191E-2,9.638749957E-1,9.678510586E-1
4.303619182E1,3.093750030E-2,-9.473749995E-2,9.660750031E-1,9.712019535E-1
